Day,Revenue
2021-03-25,7.375977982
2021-03-26,6.916245052
2021-03-27,7.408050282
2021-03-28,7.863842943
2021-03-29,6.783895049
2021-03-30,7.583081086
2021-03-31,7.763779393
2021-04-01,7.344577122
2021-04-02,7.982311471
2021-04-03,6.946042709
2021-04-04,7.495289393
2021-04-05,7.450862838
2021-04-06,6.82734429
2021-04-07,7.095401048
2021-04-08,6.322858273
2021-04-09,6.453783819
2021-04-10,6.90142039
2021-04-11,6.364222316
2021-04-12,6.487956156
2021-04-13,6.055526889
2021-04-14,6.416777674
2021-04-15,6.695885552
2021-04-16,6.381637205
2021-04-17,6.151061938
2021-04-18,6.604086168
2021-04-19,7.181114215
2021-04-20,7.946744172
2021-04-21,8.034009599
2021-04-22,8.034351705
2021-04-23,7.944531429
2021-04-24,7.573324241
2021-04-25,7.164514393
2021-04-26,6.309727531
2021-04-27,7.418626769
2021-04-28,7.00182315
2021-04-29,8.029547488
2021-04-30,7.330337859
2021-05-01,7.606007772
2021-05-02,7.110366293
2021-05-03,7.131337879
2021-05-04,6.76488602
2021-05-05,7.260526894
2021-05-06,7.544141343
2021-05-07,7.33093608
2021-05-08,7.568258573
2021-05-09,7.486801358
2021-05-10,8.117012517
2021-05-11,7.415766826
2021-05-12,7.780389211
2021-05-13,7.830950713
2021-05-14,7.92206928
2021-05-15,7.76971031
2021-05-16,8.176501818
2021-05-17,7.753128355
2021-05-18,7.44780328
2021-05-19,6.606752799
2021-05-20,7.60677813
2021-05-21,7.157498503
2021-05-22,7.218478047
2021-05-23,7.485049457
2021-05-24,7.152312945
2021-05-25,7.506441261
2021-05-26,7.029261517
2021-05-27,7.06516091
2021-05-28,6.585496947
2021-05-29,6.108246159
2021-05-30,5.913673164
2021-05-31,6.844251596
2021-06-01,5.936896508
2021-06-02,7.146617054
2021-06-03,5.698388374
2021-06-04,6.41938589
2021-06-05,5.351951701
2021-06-06,6.013657257
2021-06-07,5.676967765
2021-06-08,5.362054145
2021-06-09,5.136908683
2021-06-10,6.13872931
2021-06-11,5.468684959
2021-06-12,5.457250359
2021-06-13,6.305916197
2021-06-14,6.15007653
2021-06-15,6.565829307
2021-06-16,6.966321242
2021-06-17,6.31170634
2021-06-18,5.943952602
2021-06-19,5.841843614
2021-06-20,6.681780332
2021-06-21,5.664625151
2021-06-22,5.481281548
2021-06-23,5.671976498
2021-06-24,5.188018593
2021-06-25,5.609863758
2021-06-26,4.907574806
2021-06-27,5.437139336
2021-06-28,5.298284266
2021-06-29,5.412603871
2021-06-30,5.674703941
2021-07-01,6.233395622
2021-07-02,5.964008868
2021-07-03,6.223849962
2021-07-04,6.179556586
2021-07-05,5.921670524
2021-07-06,6.277405791
2021-07-07,5.871568903
2021-07-08,5.816199182
2021-07-09,6.43853443
2021-07-10,5.90074056
2021-07-11,6.213554554
2021-07-12,5.561818866
2021-07-13,6.015062568
2021-07-14,6.245567733
2021-07-15,5.617964732
2021-07-16,6.047722333
2021-07-17,5.328600654
2021-07-18,5.984050593
2021-07-19,5.718670217
2021-07-20,6.168549778
2021-07-21,6.419179952
2021-07-22,6.770455873
2021-07-23,6.460004712
2021-07-24,5.973167431
2021-07-25,5.589806569
2021-07-26,5.966559897
2021-07-27,6.50841071
2021-07-28,5.914158993
2021-07-29,6.137185499
2021-07-30,6.701932741
2021-07-31,6.481133865
2021-08-01,6.502357716
2021-08-02,7.223705866
2021-08-03,6.832373048
2021-08-04,6.946346894
2021-08-05,6.239278536
2021-08-06,7.064640345
2021-08-07,6.695172714
2021-08-08,5.680079038
2021-08-09,6.412772263
2021-08-10,5.811691619
2021-08-11,6.18833241
2021-08-12,5.280124523
2021-08-13,6.278287558
2021-08-14,6.708512399
2021-08-15,6.524116876
2021-08-16,6.378960244
2021-08-17,6.434691767
2021-08-18,6.47520127
2021-08-19,7.384317349
2021-08-20,7.651861894
2021-08-21,8.701207113
2021-08-22,7.591809144
2021-08-23,8.133817813
2021-08-24,7.353039585
2021-08-25,7.544987314
2021-08-26,7.065749819
2021-08-27,7.550080449
2021-08-28,7.568530826
2021-08-29,6.781578804
2021-08-30,6.518598196
2021-08-31,6.365795463
2021-09-01,6.779827762
2021-09-02,6.517114237
2021-09-03,6.705527436
2021-09-04,7.092380299
2021-09-05,7.058309661
2021-09-06,6.544608743
2021-09-07,7.42956329
2021-09-08,7.721857658
2021-09-09,6.502133156
2021-09-10,7.391609269
2021-09-11,6.989221405
2021-09-12,7.45339929
2021-09-13,7.591757865
2021-09-14,7.766084958
2021-09-15,8.361602643
2021-09-16,8.037333381
2021-09-17,8.959983524
2021-09-18,9.15113802
2021-09-19,8.905577837
2021-09-20,9.415349311
2021-09-21,9.724684431
2021-09-22,10.09011507
2021-09-23,10.25465961
2021-09-24,9.549328447
2021-09-25,10.08531775
2021-09-26,10.86821621
2021-09-27,10.43282617
2021-09-28,11.15156592
2021-09-29,10.64484963
2021-09-30,10.96487737
2021-10-01,11.68964623
2021-10-02,10.89802648
2021-10-03,11.15595137
2021-10-04,11.12450766
2021-10-05,11.45453995
2021-10-06,10.88066325
2021-10-07,11.39306098
2021-10-08,11.55030041
2021-10-09,11.35877212
2021-10-10,11.40012934
2021-10-11,10.80415319
2021-10-12,10.95113957
2021-10-13,10.00965452
2021-10-14,10.63852616
2021-10-15,10.11305364
2021-10-16,10.0095536
2021-10-17,10.2115207
2021-10-18,10.17354697
2021-10-19,9.849481019
2021-10-20,10.24676663
2021-10-21,9.835264689
2021-10-22,10.49314322
2021-10-23,9.603350087
2021-10-24,9.24876006
2021-10-25,9.401037919
2021-10-26,9.939871378
2021-10-27,10.13535112
2021-10-28,9.647129671
2021-10-29,10.78557055
2021-10-30,9.760365268
2021-10-31,10.3869437
2021-11-01,10.4788635
2021-11-02,10.57752336
2021-11-03,10.47291662
2021-11-04,10.40893697
2021-11-05,9.654938495
2021-11-06,9.834805834
2021-11-07,9.425696511
2021-11-08,9.55456512
2021-11-09,10.10855667
2021-11-10,9.526518729
2021-11-11,10.03160103
2021-11-12,9.68084097
2021-11-13,9.70637883
2021-11-14,8.587347032
2021-11-15,9.048395345
2021-11-16,8.263694395
2021-11-17,9.0399819
2021-11-18,9.163766036
2021-11-19,9.518616967
2021-11-20,8.592423729
2021-11-21,8.600153773
2021-11-22,8.899976886
2021-11-23,9.491880902
2021-11-24,9.119437222
2021-11-25,10.17182049
2021-11-26,10.15898941
2021-11-27,10.88522035
2021-11-28,10.05228172
2021-11-29,10.22987502
2021-11-30,9.841212706
2021-12-01,10.49074993
2021-12-02,10.19191851
2021-12-03,10.01436423
2021-12-04,9.99085923
2021-12-05,10.02681131
2021-12-06,9.525744753
2021-12-07,9.765642634
2021-12-08,9.555497572
2021-12-09,9.11228015
2021-12-10,8.759691125
2021-12-11,9.249328093
2021-12-12,8.77552317
2021-12-13,9.854105527
2021-12-14,10.25335772
2021-12-15,9.9843748
2021-12-16,11.06398076
2021-12-17,10.71010619
2021-12-18,11.25761409
2021-12-19,10.60928267
2021-12-20,11.32932884
2021-12-21,11.16053242
2021-12-22,11.33996004
2021-12-23,11.54239828
2021-12-24,11.79270684
2021-12-25,11.70526835
2021-12-26,11.89753587
2021-12-27,11.78967252
2021-12-28,11.61994787
2021-12-29,11.96826033
2021-12-30,12.28792621
2021-12-31,12.43813368
2022-01-01,11.99189083
2022-01-02,11.85068671
2022-01-03,12.26622586
2022-01-04,11.15803183
2022-01-05,12.11997933
2022-01-06,11.76873233
2022-01-07,11.12803578
2022-01-08,10.86603266
2022-01-09,10.23757712
2022-01-10,10.14320748
2022-01-11,10.46689075
2022-01-12,10.69625935
2022-01-13,10.45534182
2022-01-14,10.83652579
2022-01-15,10.71043553
2022-01-16,11.51680064
2022-01-17,11.29962526
2022-01-18,12.04357266
2022-01-19,12.37934218
2022-01-20,12.06734366
2022-01-21,11.21216257
2022-01-22,10.75617064
2022-01-23,10.85446209
2022-01-24,10.62193078
2022-01-25,10.39052456
2022-01-26,11.32402028
2022-01-27,11.23435857
2022-01-28,10.63505592
2022-01-29,11.86507245
2022-01-30,11.64172029
2022-01-31,12.27268843
2022-02-01,12.12051353
2022-02-02,12.51634578
2022-02-03,11.95056055
2022-02-04,12.22118708
2022-02-05,12.27182008
2022-02-06,12.28144634
2022-02-07,12.05270478
2022-02-08,12.42338133
2022-02-09,11.85932698
2022-02-10,11.73912658
2022-02-11,11.92291
2022-02-12,12.157616
2022-02-13,11.79346872
2022-02-14,11.9430778
2022-02-15,11.36953639
2022-02-16,11.64293102
2022-02-17,10.89965094
2022-02-18,11.51358095
2022-02-19,10.95912682
2022-02-20,10.31231737
2022-02-21,10.77773788
2022-02-22,11.03581856
2022-02-23,11.04543669
2022-02-24,11.63735871
2022-02-25,11.84817774
2022-02-26,11.30317125
2022-02-27,10.85196452
2022-02-28,11.58185214
2022-03-01,10.9251649
2022-03-02,11.58242318
2022-03-03,11.714175
2022-03-04,11.85870991
2022-03-05,12.4743538
2022-03-06,13.28181359
2022-03-07,12.38885091
2022-03-08,12.69666202
2022-03-09,12.75891555
2022-03-10,12.79436534
2022-03-11,13.03626492
2022-03-12,12.61389051
2022-03-13,13.20618288
2022-03-14,11.33646421
2022-03-15,12.33494046
2022-03-16,12.2952658
2022-03-17,12.27980845
2022-03-18,12.42600982
2022-03-19,12.25776278
2022-03-20,11.87191996
2022-03-21,12.67618483
2022-03-22,12.1142837
2022-03-23,11.96338146
2022-03-24,12.44743229
2022-03-25,12.72511952
2022-03-26,12.5116333
2022-03-27,12.17234837
2022-03-28,11.97771742
2022-03-29,12.23245368
2022-03-30,12.37410985
2022-03-31,12.98195912
2022-04-01,12.49576931
2022-04-02,13.41855217
2022-04-03,12.310697
2022-04-04,11.70179391
2022-04-05,12.4746098
2022-04-06,12.30447328
2022-04-07,11.91232484
2022-04-08,12.06182155
2022-04-09,11.82917264
2022-04-10,11.82716412
2022-04-11,12.1895535
2022-04-12,11.78537286
2022-04-13,11.63884845
2022-04-14,11.63896413
2022-04-15,11.88642246
2022-04-16,11.85488462
2022-04-17,11.84609015
2022-04-18,11.74862167
2022-04-19,11.87811409
2022-04-20,12.20198435
2022-04-21,11.45912015
2022-04-22,12.34953765
2022-04-23,11.87079189
2022-04-24,12.42081087
2022-04-25,12.85218592
2022-04-26,12.79460121
2022-04-27,13.62608898
2022-04-28,13.22768706
2022-04-29,13.67048893
2022-04-30,13.02040072
2022-05-01,14.02855963
2022-05-02,13.70373558
2022-05-03,13.14141166
2022-05-04,14.58439135
2022-05-05,12.99860149
2022-05-06,13.94233027
2022-05-07,13.35883336
2022-05-08,13.14583676
2022-05-09,13.14194539
2022-05-10,13.78288481
2022-05-11,13.2471014
2022-05-12,12.91791795
2022-05-13,13.08170823
2022-05-14,12.56804083
2022-05-15,12.74694261
2022-05-16,12.35284367
2022-05-17,12.98090483
2022-05-18,12.90913353
2022-05-19,12.5920623
2022-05-20,12.53504785
2022-05-21,12.85674512
2022-05-22,12.26760949
2022-05-23,11.98661548
2022-05-24,12.52412042
2022-05-25,12.66745399
2022-05-26,12.25648214
2022-05-27,11.91079143
2022-05-28,11.78397433
2022-05-29,11.92127457
2022-05-30,12.158925
2022-05-31,11.81057468
2022-06-01,11.88975226
2022-06-02,11.69825461
2022-06-03,12.17167502
2022-06-04,11.82052751
2022-06-05,11.15347885
2022-06-06,11.23717709
2022-06-07,11.15107411
2022-06-08,11.08064513
2022-06-09,11.64138463
2022-06-10,11.64244469
2022-06-11,11.37726013
2022-06-12,12.70618117
2022-06-13,12.65099724
2022-06-14,12.6903084
2022-06-15,13.02786915
2022-06-16,12.80178234
2022-06-17,13.42265358
2022-06-18,12.80727665
2022-06-19,12.80567703
2022-06-20,11.92365881
2022-06-21,12.49031206
2022-06-22,12.71389921
2022-06-23,12.53482273
2022-06-24,13.43723176
2022-06-25,13.63800734
2022-06-26,12.95851121
2022-06-27,13.00209354
2022-06-28,12.19453438
2022-06-29,12.65658197
2022-06-30,12.26725363
2022-07-01,12.46538558
2022-07-02,11.52944628
2022-07-03,11.91740943
2022-07-04,11.38219886
2022-07-05,11.26626767
2022-07-06,11.76828749
2022-07-07,11.87538744
2022-07-08,12.58730685
2022-07-09,12.39629138
2022-07-10,12.80282887
2022-07-11,12.24385654
2022-07-12,12.67030902
2022-07-13,13.31219796
2022-07-14,13.31603826
2022-07-15,13.04627103
2022-07-16,12.75132567
2022-07-17,12.78686786
2022-07-18,13.44438984
2022-07-19,13.73178244
2022-07-20,13.10876341
2022-07-21,14.05092571
2022-07-22,13.78269338
2022-07-23,14.17450212
2022-07-24,14.56967641
2022-07-25,13.67098592
2022-07-26,13.98910617
2022-07-27,14.24029335
2022-07-28,13.93475205
2022-07-29,14.02469716
2022-07-30,14.41839801
2022-07-31,13.5356501
2022-08-01,13.66849178
2022-08-02,13.60088212
2022-08-03,13.93891958
2022-08-04,14.05218356
2022-08-05,13.52047837
2022-08-06,13.08264299
2022-08-07,13.50488575
2022-08-08,13.68482591
